0.943681,-0.989185,0.997759,-0.992124,0.916102,-0.546682,
0.772835,-0.790136,0.80323,-0.485662,0.950423,0.451803,
0.919821,-0.730504,0.859085,-0.458814,0.90337,0.93388,
0.961807,-0.521547,0.963329,-0.651425,0.826105,0.958412,
0.960251,-0.378373,0.98123,-0.863754,0.917012,0.91968,
0.967566,-0.576621,0.961099,-0.985024,0.983462,0.749111,
0.95797,-0.444558,0.989209,-0.988642,0.984019,0.736624,
0.957661,-0.106464,0.988562,-0.991728,0.985999,0.557522,
0.947479,0.314229,0.981247,-0.991622,0.98917,0.234212,
0.923131,0.555067,0.9623,-0.984643,0.991633,0.151043,
0.939577,0.735346,0.903489,-0.972346,0.992364,0.405607,
0.942969,0.884056,0.830623,-0.939621,0.986817,0.392395,
0.932637,0.956037,0.763462,-0.885009,0.954229,0.26902,
0.897377,0.96302,0.710067,-0.766571,0.825523,0.119122,
0.87841,0.954537,0.680496,-0.627163,0.61429,0.0470187,
0.900148,0.869277,0.720528,-0.470614,0.303189,0.0368671,
0.896149,0.690309,0.686721,-0.495546,0.0769185,-0.161156,
0.882129,0.506585,0.528956,-0.573046,0.163995,-0.412757,
0.87755,0.233537,0.440608,-0.648986,0.465384,-0.491537,
0.881288,-0.080651,0.393672,-0.610396,0.675691,-0.533031,
0.861616,-0.293793,0.211697,-0.654312,0.719669,-0.627067,
0.821696,-0.457093,0.115463,-0.733508,0.771377,-0.637415,
0.72836,-0.531611,0.194117,-0.83688,0.822636,-0.652737,
0.554729,-0.622054,0.460306,-0.920113,0.872395,-0.552053,
0.660917,-0.500124,0.781914,-0.969512,0.927794,-0.440616,
0.768957,-0.0382562,0.669533,-0.986216,0.966485,-0.780247,
0.696303,-0.330877,0.626537,-0.963495,0.969229,-0.623134,
0.772915,-0.22539,0.668423,-0.93535,0.982621,-0.579009,
0.824382,-0.288853,0.767083,-0.919578,0.989002,-0.578971,
0.864871,-0.672647,0.733928,-0.844753,0.986673,-0.0451518,
0.864871,-0.672651,0.733895,-0.844744,0.986673,-0.0451564,
0.86487,-0.672648,0.733896,-0.844738,0.986673,-0.0451602,
0.864867,-0.672635,0.733887,-0.844748,0.986672,-0.0452096,
0.864868,-0.672631,0.733875,-0.844752,0.986672,-0.0452016,
0.864869,-0.672632,0.733883,-0.844749,0.986672,-0.0451758,
0.864868,-0.672635,0.733882,-0.844752,0.986672,-0.0451772,
0.864872,-0.672646,0.733901,-0.844741,0.986673,-0.045147,
0.864869,-0.672648,0.733906,-0.844745,0.986673,-0.0451728,
